video_id,title,description,genre,keywords,duration,popularity,video_url,image_path
346,"NASA 25th Anniversary Show, Segment 01","NASA 25th Anniversary Show, Segment 01",Documentary,NASA;Space;,00:00:30,21995,https://open-video.org/details.php?videoid=346,./ovp_1min_all_files/anni001_00827.gif
352,"NASA 25th Anniversary Show, Segment 07","NASA 25th Anniversary Show, Segment 07",Documentary,NASA;Space;,00:00:53,9932,https://open-video.org/details.php?videoid=352,./ovp_1min_all_files/anni007_01455.gif
357,"New Indians, Segment 01","New Indians, Segment 01",Documentary,,00:00:56,1977,https://open-video.org/details.php?videoid=357,./ovp_1min_all_files/indi001_00010.gif
358,"New Indians, Segment 02","New Indians, Segment 02",Documentary,,00:00:28,1470,https://open-video.org/details.php?videoid=358,./ovp_1min_all_files/indi002_00057.gif
359,"New Indians, Segment 03","New Indians, Segment 03",Documentary,,00:00:35,1151,https://open-video.org/details.php?videoid=359,./ovp_1min_all_files/indi003_00259.gif
361,"New Indians, Segment 05","New Indians, Segment 05",Documentary,,00:00:39,612,https://open-video.org/details.php?videoid=361,./ovp_1min_all_files/indi005_00176.gif
364,"New Indians, Segment 08","New Indians, Segment 08",Documentary,,00:00:23,1034,https://open-video.org/details.php?videoid=364,./ovp_1min_all_files/indi008_00025.gif
365,"New Indians, Segment 09","New Indians, Segment 09",Documentary,,00:00:16,1744,https://open-video.org/details.php?videoid=365,./ovp_1min_all_files/indi009_00442.gif
366,"New Indians, Segment 10","New Indians, Segment 10",Documentary,,00:00:23,864,https://open-video.org/details.php?videoid=366,./ovp_1min_all_files/indi010_00093.gif
375,"New Indians, Segment 102","New Indians, Segment 102",Documentary,,00:00:45,601,https://open-video.org/details.php?videoid=375,./ovp_1min_all_files/indi102_01233.gif
376,"New Indians, Segment 103","New Indians, Segment 103",Documentary,,00:00:57,399,https://open-video.org/details.php?videoid=376,./ovp_1min_all_files/indi103_01442.gif
377,"New Indians, Segment 104","New Indians, Segment 104",Documentary,,00:00:39,390,https://open-video.org/details.php?videoid=377,./ovp_1min_all_files/indi104_00302.gif
380,"New Indians, Segment 107","New Indians, Segment 107",Documentary,,00:00:52,414,https://open-video.org/details.php?videoid=380,./ovp_1min_all_files/indi107_01544.gif
383,"New Indians, Segment 110","New Indians, Segment 110",Documentary,,00:00:40,279,https://open-video.org/details.php?videoid=383,./ovp_1min_all_files/indi110_00574.gif
393,"Winning: Aerospace, Segment 01","Winning: Aerospace, Segment 01 Designed to introduce students to the unique career opportunities in America's aerospace industry. (Grades 7-12)",Documentary,NASA;Space;,00:00:59,1399,https://open-video.org/details.php?videoid=393,./ovp_1min_all_files/winn001001_00494.gif
401,"Winning: Aerospace, Segment 09","Winning: Aerospace, Segment 09 Designed to introduce students to the unique career opportunities in America's aerospace industry. (Grades 7-12)",Documentary,NASA;Space;,00:00:53,364,https://open-video.org/details.php?videoid=401,./ovp_1min_all_files/winn001009_00121.gif
413,"Hurricanes, Segment 03","Hurricanes, Segment 03",Documentary,Hurricanes;,00:00:12,1944,https://open-video.org/details.php?videoid=413,./ovp_1min_all_files/HURR003_00001.gif
414,"Hurricanes, Segment 04","Hurricanes, Segment 04",Documentary,Hurricanes;,00:00:48,1151,https://open-video.org/details.php?videoid=414,./ovp_1min_all_files/HURR004_00961.gif
